state_abbv,state,lat,lon
AK,Alaska,27.12768,-115.981766
AL,Alabama,32.688053,-86.810585
AR,Arkansas,34.755883,-92.640559
AZ,Arizona,34.255149,-111.62621
CA,California,36.531544,-119.586168
CO,Colorado,38.996664,-105.547822
CT,Connecticut,41.580163,-72.756629
DE,Delaware,38.978849,-75.46014
FL,Florida,27.97762,-81.769611
GA,Georgia,32.53951,-83.380775
HI,Hawaii,24.200987,-104.313994
IA,Iowa,42.039943,-93.500069
ID,Idaho,43.764877,-114.964267
IL,Illinois,40.265028,-89.191575
IN,Indiana,39.904493,-86.250281
KS,Kansas,38.500327,-98.380429
KY,Kentucky,37.696825,-84.924095
LA,Louisiana,30.542601,-92.51441
MA,Massachusetts,42.358752,-71.531484
MD,Maryland,39.038828,-76.346717
ME,Maine,45.243327,-69.171071
MI,Michigan,43.924812,-84.633107
MN,Minnesota,46.63636,-94.579641
MO,Missouri,38.353141,-92.747022
MS,Mississippi,32.921921,-89.687118
MT,Montana,47.001265,-109.645406
NC,North Carolina,35.387362,-78.455056
ND,North Dakota,47.471495,-100.469096
NE,Nebraska,41.499671,-99.810075
NH,New Hampshire,43.644386,-71.586283
NJ,New Jersey,39.66502,-74.738208
NM,New Mexico,34.498624,-106.108278
NV,Nevada,39.440688,-116.598569
NY,New York,43.165726,-74.948051
OH,Ohio,40.262259,-82.883453
OK,Oklahoma,35.455622,-97.508021
OR,Oregon,43.854178,-120.526709
PA,Pennsylvania,40.860198,-77.838617
RI,Rhode Island,41.587536,-71.514739
SC,South Carolina,33.702857,-80.627523
TN,Tennessee,35.820245,-86.343764
TX,Texas,31.030974,-98.326329
UT,Utah,39.098999,-111.878816
VA,Virginia,37.73086,-78.376655
VT,Vermont,44.211857,-72.681238
WA,Washington,47.372269,-120.59234
WI,Wisconsin,44.356004,-89.466198
WY,Wyoming,43.001645,-107.55153
WV,West Virginia,38.3472,-80.6333
SD,South Dakota,44.368,-100.336